iter	Passed	Remaining
0	4	485
1	9	446
2	13	428
3	16	395
4	20	397
5	25	396
6	30	403
7	35	404
8	39	399
9	44	397
10	48	395
11	55	408
12	63	423
13	67	414
14	71	407
15	76	399
16	80	392
17	84	385
18	89	382
19	93	375
20	97	368
21	104	370
22	110	371
23	118	374
24	123	369
25	137	391
26	144	390
27	149	384
28	154	378
29	161	376
30	166	369
31	171	364
32	177	361
33	199	388
34	208	386
35	213	380
36	218	372
37	224	366
38	230	360
39	235	352
40	244	351
41	248	343
42	257	341
43	262	334
44	269	328
45	276	324
46	281	317
47	286	310
48	303	316
49	310	310
50	315	302
51	323	298
52	327	290
53	332	283
54	336	274
55	352	277
56	359	271
57	366	265
58	372	258
59	378	252
60	383	245
61	400	245
62	406	238
63	414	232
64	419	225
65	424	218
66	440	216
67	449	211
68	455	204
69	460	197
70	466	190
71	472	183
72	484	179
73	494	173
74	500	166
75	506	159
76	512	152
77	519	146
78	524	139
79	530	132
80	548	128
81	556	122
82	561	114
83	567	108
84	574	101
85	579	94
86	584	87
87	601	82
88	609	75
89	614	68
90	621	61
91	627	54
92	633	47
93	639	40
94	651	34
95	659	27
96	667	20
97	672	13
98	677	6
99	692	0
