iter	Passed	Remaining
0	2	2000
1	3	1823
2	5	1739
3	6	1712
4	8	1722
5	12	2019
6	13	1963
7	15	1922
8	17	1881
9	18	1853
10	20	1824
11	21	1801
12	23	1780
13	25	1761
14	26	1755
15	28	1741
16	29	1731
17	31	1729
18	34	1757
19	35	1746
20	37	1738
21	38	1728
22	40	1717
23	42	1709
24	43	1701
25	45	1693
26	46	1684
27	48	1677
28	50	1680
29	51	1674
30	53	1670
31	56	1702
32	60	1786
33	62	1785
34	64	1787
35	66	1789
36	68	1781
37	70	1775
38	72	1775
39	73	1767
40	75	1759
41	79	1804
42	81	1820
43	83	1812
44	84	1803
45	86	1796
46	88	1790
47	90	1789
48	91	1785
49	93	1776
50	95	1768
51	96	1762
52	98	1759
53	100	1755
54	102	1757
55	103	1750
56	105	1745
57	107	1741
58	108	1737
59	110	1730
60	111	1723
61	113	1717
62	115	1712
63	117	1712
64	118	1706
65	120	1701
66	121	1698
67	124	1705
68	126	1704
69	127	1698
70	129	1692
71	130	1687
72	132	1682
73	134	1683
74	136	1678
75	137	1674
76	139	1669
77	140	1664
78	142	1659
79	144	1657
80	147	1674
81	149	1670
82	150	1658
83	152	1660
84	154	1657
85	155	1654
86	157	1651
87	158	1647
88	160	1644
89	162	1642
90	164	1640
91	167	1654
92	169	1652
93	171	1649
94	174	1658
95	176	1658
96	178	1660
97	179	1656
98	181	1650
99	182	1646
100	184	1645
101	190	1678
102	192	1678
103	195	1682
104	196	1679
105	198	1676
106	200	1675
107	204	1692
108	206	1689
109	208	1687
110	211	1690
111	214	1701
112	216	1699
113	218	1697
114	220	1697
115	222	1698
116	224	1692
117	226	1689
118	231	1716
119	235	1724
120	238	1730
121	239	1724
122	241	1721
123	243	1720
124	245	1720
125	247	1718
126	249	1712
127	250	1708
128	252	1704
129	257	1721
130	259	1724
131	261	1722
132	264	1724
133	266	1721
134	268	1718
135	269	1714
136	271	1713
137	273	1710
138	275	1707
139	278	1710
140	281	1717
141	283	1711
142	285	1708
143	286	1705
144	288	1701
145	290	1699
146	295	1713
147	296	1709
148	300	1715
149	303	1718
150	305	1715
151	306	1712
152	309	1713
153	311	1710
154	312	1705
155	314	1701
156	316	1698
157	318	1695
158	319	1692
159	324	1701
160	325	1695
161	327	1693
162	329	1691
163	331	1689
164	332	1684
165	334	1680
166	335	1675
167	337	1671
168	339	1668
169	340	1663
170	342	1660
171	344	1658
172	347	1659
173	349	1657
174	350	1654
175	353	1653
176	354	1650
177	356	1646
178	358	1642
179	359	1638
180	361	1635
181	363	1631
182	364	1628
183	366	1625
184	372	1639
185	374	1639
186	377	1639
187	379	1641
188	382	1641
189	385	1641
190	387	1639
191	389	1638
192	395	1655
193	398	1654
194	399	1650
195	401	1646
196	403	1643
197	404	1639
198	406	1635
199	407	1631
200	409	1627
201	415	1643
202	417	1640
203	419	1636
204	420	1632
205	422	1628
206	424	1625
207	426	1622
208	427	1618
209	429	1615
210	431	1612
211	432	1608
212	434	1605
213	437	1606
214	439	1605
215	441	1601
216	443	1598
217	444	1595
218	446	1590
219	447	1587
220	449	1583
221	450	1580
222	452	1577
223	454	1574
224	456	1570
225	458	1568
226	460	1569
227	462	1566
228	464	1562
229	465	1558
230	467	1555
231	468	1551
232	470	1548
233	471	1544
234	473	1541
235	475	1538
236	476	1534
237	478	1531
238	479	1527
239	482	1527
240	484	1525
241	486	1523
242	487	1519
243	489	1516
244	491	1513
245	492	1510
246	494	1508
247	496	1506
248	498	1503
249	500	1500
250	501	1497
251	504	1496
252	506	1494
253	507	1491
254	509	1489
255	511	1486
256	513	1483
257	514	1479
258	516	1476
259	517	1473
260	519	1470
261	521	1467
262	523	1465
263	524	1462
264	527	1461
265	529	1461
266	531	1459
267	532	1455
268	534	1452
269	536	1449
270	537	1446
271	539	1443
272	541	1440
273	542	1437
274	544	1434
275	545	1431
276	547	1428
277	553	1437
278	554	1434
279	557	1433
280	559	1430
281	561	1428
282	562	1425
283	564	1423
284	566	1421
285	568	1418
286	569	1415
287	571	1412
288	576	1418
289	578	1416
290	580	1413
291	582	1411
292	584	1410
293	586	1407
294	588	1405
295	589	1403
296	591	1401
297	595	1401
298	597	1401
299	600	1401
300	602	1399
301	604	1396
302	606	1394
303	607	1391
304	609	1389
305	611	1386
306	613	1384
307	615	1381
308	618	1382
309	620	1381
310	622	1378
311	623	1375
