iter	RMSE
0	14.42880891
1	13.66692093
2	12.84157942
3	12.08589615
4	11.44695821
5	10.81612996
6	10.29438063
7	9.808676572
8	9.342665579
9	8.965238133
10	8.595130082
11	8.255613835
12	7.932849274
13	7.640164222
14	7.381391507
15	7.145870844
16	6.921356858
17	6.70348051
18	6.522083915
19	6.362908078
20	6.198249192
21	6.03830127
22	5.901729354
23	5.78113819
24	5.662101442
25	5.541007463
26	5.460571242
27	5.355130773
28	5.256440147
29	5.179471219
30	5.084178002
31	5.003562764
32	4.93099407
33	4.863209691
34	4.795790956
35	4.73851519
36	4.687039968
37	4.651036965
38	4.588682158
39	4.539473943
40	4.483132885
41	4.431728856
42	4.386043646
43	4.346632755
44	4.310281418
45	4.272653962
46	4.237697543
47	4.20365464
48	4.170367386
49	4.136515796
50	4.102698006
51	4.072477643
52	4.037249175
53	3.991351047
54	3.959810129
55	3.927850013
56	3.896012143
57	3.870186485
58	3.826694391
59	3.813991897
60	3.783951857
61	3.763539304
62	3.738342077
63	3.71291163
64	3.690734169
65	3.657684852
66	3.623232296
67	3.584083691
68	3.55455224
69	3.538473025
70	3.514782921
71	3.492905672
72	3.474500712
73	3.45287752
74	3.425609172
75	3.398321158
76	3.373754254
77	3.359269818
78	3.337290307
79	3.318865742
