iter	Passed	Remaining
0	8	835
1	12	632
2	17	561
3	20	485
4	28	539
5	37	581
6	38	508
7	47	542
8	49	500
9	58	524
10	70	572
11	80	590
12	83	557
13	85	522
14	95	541
15	105	552
16	114	561
17	124	565
18	134	572
19	144	576
20	149	564
21	161	574
22	171	573
23	180	572
24	190	572
25	201	572
26	207	561
27	218	560
28	228	559
29	238	556
30	248	553
31	259	552
32	269	547
33	278	541
34	289	537
35	298	531
36	308	525
37	310	506
38	319	500
39	329	493
40	338	487
41	347	479
42	357	473
43	367	467
44	377	461
45	388	455
46	397	448
47	408	442
48	417	434
49	428	428
50	438	421
51	454	419
52	476	422
53	499	425
54	518	423
55	542	426
56	565	426
57	585	424
58	606	421
59	611	407
60	633	404
61	656	402
62	676	397
63	697	392
64	717	386
65	736	379
66	757	372
67	777	365
68	797	358
69	818	350
70	838	342
71	858	334
72	881	325
73	900	316
74	922	307
75	946	298
76	966	288
77	985	277
78	1005	267
79	1024	256
